Country/area,Technology,Grid connection,Year,Installed electricity capacity by country/area (MW)
Canada,Concentrated solar power,Off-grid,2013,..
Canada,Concentrated solar power,Off-grid,2014,..
Canada,Concentrated solar power,Off-grid,2015,..
Canada,Concentrated solar power,Off-grid,2016,..
Canada,Concentrated solar power,Off-grid,2017,..
Canada,Concentrated solar power,Off-grid,2018,..
Canada,Concentrated solar power,Off-grid,2019,..
Canada,Concentrated solar power,Off-grid,2020,..
Canada,Concentrated solar power,On-grid,2000,..
Canada,Concentrated solar power,On-grid,2001,..
Canada,Concentrated solar power,On-grid,2002,..
Canada,Concentrated solar power,On-grid,2003,..
Canada,Concentrated solar power,On-grid,2004,..
Canada,Concentrated solar power,On-grid,2005,..
Canada,Concentrated solar power,On-grid,2006,..
Canada,Concentrated solar power,On-grid,2007,..
Canada,Concentrated solar power,On-grid,2008,..
Canada,Concentrated solar power,On-grid,2009,..
Canada,Concentrated solar power,On-grid,2010,..
Canada,Concentrated solar power,On-grid,2011,..
Canada,Concentrated solar power,On-grid,2012,..
Canada,Concentrated solar power,On-grid,2013,..
Canada,Concentrated solar power,On-grid,2014,..
Canada,Concentrated solar power,On-grid,2015,..
Canada,Concentrated solar power,On-grid,2016,..
Canada,Concentrated solar power,On-grid,2017,..
Canada,Concentrated solar power,On-grid,2018,..
Canada,Concentrated solar power,On-grid,2019,..
Canada,Concentrated solar power,On-grid,2020,..
Canada,Onshore wind energy,Off-grid,2000,..
Canada,Onshore wind energy,Off-grid,2001,..
Canada,Onshore wind energy,Off-grid,2002,..
Canada,Onshore wind energy,Off-grid,2003,..
Canada,Onshore wind energy,Off-grid,2004,..
Canada,Onshore wind energy,Off-grid,2005,..
Canada,Onshore wind energy,Off-grid,2006,..
Canada,Onshore wind energy,Off-grid,2007,..
Canada,Onshore wind energy,Off-grid,2008,..
Canada,Onshore wind energy,Off-grid,2009,..
Canada,Onshore wind energy,Off-grid,2010,..
Canada,Onshore wind energy,Off-grid,2011,..
Canada,Onshore wind energy,Off-grid,2012,..
Canada,Onshore wind energy,Off-grid,2013,..
Canada,Onshore wind energy,Off-grid,2014,..
Canada,Onshore wind energy,Off-grid,2015,..
Canada,Onshore wind energy,Off-grid,2016,..
Canada,Onshore wind energy,Off-grid,2017,..
Canada,Onshore wind energy,Off-grid,2018,..
Canada,Onshore wind energy,Off-grid,2019,..
Canada,Onshore wind energy,Off-grid,2020,..
Canada,Onshore wind energy,On-grid,2000,92
Canada,Onshore wind energy,On-grid,2001,131
Canada,Onshore wind energy,On-grid,2002,161
Canada,Onshore wind energy,On-grid,2003,327
Canada,Onshore wind energy,On-grid,2004,444
Canada,Onshore wind energy,On-grid,2005,677
Canada,Onshore wind energy,On-grid,2006,1423
Canada,Onshore wind energy,On-grid,2007,1840
Canada,Onshore wind energy,On-grid,2008,2336
Canada,Onshore wind energy,On-grid,2009,3282
Canada,Onshore wind energy,On-grid,2010,3967
Canada,Onshore wind energy,On-grid,2011,5265
Canada,Onshore wind energy,On-grid,2012,6201
Canada,Onshore wind energy,On-grid,2013,7801
Canada,Onshore wind energy,On-grid,2014,9694
Canada,Onshore wind energy,On-grid,2015,11214
Canada,Onshore wind energy,On-grid,2016,11973
Canada,Onshore wind energy,On-grid,2017,12250
Canada,Onshore wind energy,On-grid,2018,12816
Canada,Onshore wind energy,On-grid,2019,13413
Canada,Onshore wind energy,On-grid,2020,13577
Canada,Offshore wind energy,Off-grid,2000,..
Canada,Offshore wind energy,Off-grid,2001,..
Canada,Offshore wind energy,Off-grid,2002,..
Canada,Offshore wind energy,Off-grid,2003,..
Canada,Offshore wind energy,Off-grid,2004,..
Canada,Offshore wind energy,Off-grid,2005,..
Canada,Offshore wind energy,Off-grid,2006,..
Canada,Offshore wind energy,Off-grid,2007,..
Canada,Offshore wind energy,Off-grid,2008,..
Canada,Offshore wind energy,Off-grid,2009,..
Canada,Offshore wind energy,Off-grid,2010,..
Canada,Offshore wind energy,Off-grid,2011,..
Canada,Offshore wind energy,Off-grid,2012,..
Canada,Offshore wind energy,Off-grid,2013,..
Canada,Offshore wind energy,Off-grid,2014,..
Canada,Offshore wind energy,Off-grid,2015,..
Canada,Offshore wind energy,Off-grid,2016,..
Canada,Offshore wind energy,Off-grid,2017,..
Canada,Offshore wind energy,Off-grid,2018,..
Canada,Offshore wind energy,Off-grid,2019,..
Canada,Offshore wind energy,Off-grid,2020,..
Canada,Offshore wind energy,On-grid,2000,..
Canada,Offshore wind energy,On-grid,2001,..
Canada,Offshore wind energy,On-grid,2002,..
Canada,Offshore wind energy,On-grid,2003,..
Canada,Offshore wind energy,On-grid,2004,..
Canada,Offshore wind energy,On-grid,2005,..
Canada,Offshore wind energy,On-grid,2006,..
Canada,Offshore wind energy,On-grid,2007,..
Canada,Offshore wind energy,On-grid,2008,..
Canada,Offshore wind energy,On-grid,2009,..
Canada,Offshore wind energy,On-grid,2010,..
Canada,Offshore wind energy,On-grid,2011,..
Canada,Offshore wind energy,On-grid,2012,..
Canada,Offshore wind energy,On-grid,2013,..
Canada,Offshore wind energy,On-grid,2014,..
Canada,Offshore wind energy,On-grid,2015,..
Canada,Offshore wind energy,On-grid,2016,..
Canada,Offshore wind energy,On-grid,2017,..
Canada,Offshore wind energy,On-grid,2018,..
Canada,Offshore wind energy,On-grid,2019,..
Canada,Offshore wind energy,On-grid,2020,..
Canada,Renewable hydropower,Off-grid,2000,..
Canada,Renewable hydropower,Off-grid,2001,..
Canada,Renewable hydropower,Off-grid,2002,..
Canada,Renewable hydropower,Off-grid,2003,..
Canada,Renewable hydropower,Off-grid,2004,..
Canada,Renewable hydropower,Off-grid,2005,..
Canada,Renewable hydropower,Off-grid,2006,..
Canada,Renewable hydropower,Off-grid,2007,..
Canada,Renewable hydropower,Off-grid,2008,..
Canada,Renewable hydropower,Off-grid,2009,..
Canada,Renewable hydropower,Off-grid,2010,..
Canada,Renewable hydropower,Off-grid,2011,..
Canada,Renewable hydropower,Off-grid,2012,..
Canada,Renewable hydropower,Off-grid,2013,..
Canada,Renewable hydropower,Off-grid,2014,..
Canada,Renewable hydropower,Off-grid,2015,..
Canada,Renewable hydropower,Off-grid,2016,..
Canada,Renewable hydropower,Off-grid,2017,..
Canada,Renewable hydropower,Off-grid,2018,..
Canada,Renewable hydropower,Off-grid,2019,..
Canada,Renewable hydropower,Off-grid,2020,..
Canada,Renewable hydropower,On-grid,2000,67230
Canada,Renewable hydropower,On-grid,2001,66882
Canada,Renewable hydropower,On-grid,2002,69029
Canada,Renewable hydropower,On-grid,2003,70197
Canada,Renewable hydropower,On-grid,2004,70680
Canada,Renewable hydropower,On-grid,2005,71801
Canada,Renewable hydropower,On-grid,2006,72661
Canada,Renewable hydropower,On-grid,2007,73281
Canada,Renewable hydropower,On-grid,2008,74230
Canada,Renewable hydropower,On-grid,2009,74510
Canada,Renewable hydropower,On-grid,2010,74901
Canada,Renewable hydropower,On-grid,2011,75396
Canada,Renewable hydropower,On-grid,2012,75363
Canada,Renewable hydropower,On-grid,2013,75337
Canada,Renewable hydropower,On-grid,2014,75300
Canada,Renewable hydropower,On-grid,2015,79231
Canada,Renewable hydropower,On-grid,2016,80130
Canada,Renewable hydropower,On-grid,2017,80657
Canada,Renewable hydropower,On-grid,2018,81222
Canada,Renewable hydropower,On-grid,2019,81222
Canada,Renewable hydropower,On-grid,2020,81227
Canada,Mixed Hydro Plants,Off-grid,2000,..
Canada,Mixed Hydro Plants,Off-grid,2001,..
Canada,Mixed Hydro Plants,Off-grid,2002,..
Canada,Mixed Hydro Plants,Off-grid,2003,..
Canada,Mixed Hydro Plants,Off-grid,2004,..
Canada,Mixed Hydro Plants,Off-grid,2005,..
Canada,Mixed Hydro Plants,Off-grid,2006,..
Canada,Mixed Hydro Plants,Off-grid,2007,..
Canada,Mixed Hydro Plants,Off-grid,2008,..
Canada,Mixed Hydro Plants,Off-grid,2009,..
Canada,Mixed Hydro Plants,Off-grid,2010,..
Canada,Mixed Hydro Plants,Off-grid,2011,..
Canada,Mixed Hydro Plants,Off-grid,2012,..
Canada,Mixed Hydro Plants,Off-grid,2013,..
Canada,Mixed Hydro Plants,Off-grid,2014,..
Canada,Mixed Hydro Plants,Off-grid,2015,..
Canada,Mixed Hydro Plants,Off-grid,2016,..
Canada,Mixed Hydro Plants,Off-grid,2017,..
Canada,Mixed Hydro Plants,Off-grid,2018,..
Canada,Mixed Hydro Plants,Off-grid,2019,..
Canada,Mixed Hydro Plants,Off-grid,2020,..
Canada,Mixed Hydro Plants,On-grid,2000,..
Canada,Mixed Hydro Plants,On-grid,2001,..
Canada,Mixed Hydro Plants,On-grid,2002,..
Canada,Mixed Hydro Plants,On-grid,2003,..
Canada,Mixed Hydro Plants,On-grid,2004,..
Canada,Mixed Hydro Plants,On-grid,2005,..
Canada,Mixed Hydro Plants,On-grid,2006,..
Canada,Mixed Hydro Plants,On-grid,2007,..
Canada,Mixed Hydro Plants,On-grid,2008,..
Canada,Mixed Hydro Plants,On-grid,2009,..
Canada,Mixed Hydro Plants,On-grid,2010,..
Canada,Mixed Hydro Plants,On-grid,2011,..
Canada,Mixed Hydro Plants,On-grid,2012,..
Canada,Mixed Hydro Plants,On-grid,2013,..
Canada,Mixed Hydro Plants,On-grid,2014,..
Canada,Mixed Hydro Plants,On-grid,2015,..
Canada,Mixed Hydro Plants,On-grid,2016,..
Canada,Mixed Hydro Plants,On-grid,2017,..
Canada,Mixed Hydro Plants,On-grid,2018,..
Canada,Mixed Hydro Plants,On-grid,2019,..
Canada,Mixed Hydro Plants,On-grid,2020,..
Canada,Pumped storage,Off-grid,2000,..
Canada,Pumped storage,Off-grid,2001,..
Canada,Pumped storage,Off-grid,2002,..
Canada,Pumped storage,Off-grid,2003,..
Canada,Pumped storage,Off-grid,2004,..
Canada,Pumped storage,Off-grid,2005,..
Canada,Pumped storage,Off-grid,2006,..
Canada,Pumped storage,Off-grid,2007,..
Canada,Pumped storage,Off-grid,2008,..
Canada,Pumped storage,Off-grid,2009,..
Canada,Pumped storage,Off-grid,2010,..
Canada,Pumped storage,Off-grid,2011,..
Canada,Pumped storage,Off-grid,2012,..
Canada,Pumped storage,Off-grid,2013,..
Canada,Pumped storage,Off-grid,2014,..
Canada,Pumped storage,Off-grid,2015,..
Canada,Pumped storage,Off-grid,2016,..
Canada,Pumped storage,Off-grid,2017,..
Canada,Pumped storage,Off-grid,2018,..
Canada,Pumped storage,Off-grid,2019,..
Canada,Pumped storage,Off-grid,2020,..
Canada,Pumped storage,On-grid,2000,177
Canada,Pumped storage,On-grid,2001,177
Canada,Pumped storage,On-grid,2002,177
Canada,Pumped storage,On-grid,2003,177
Canada,Pumped storage,On-grid,2004,177
Canada,Pumped storage,On-grid,2005,177
Canada,Pumped storage,On-grid,2006,177
Canada,Pumped storage,On-grid,2007,177
Canada,Pumped storage,On-grid,2008,177
Canada,Pumped storage,On-grid,2009,177
Canada,Pumped storage,On-grid,2010,177
Canada,Pumped storage,On-grid,2011,177
Canada,Pumped storage,On-grid,2012,174
Canada,Pumped storage,On-grid,2013,174
Canada,Pumped storage,On-grid,2014,174
Canada,Pumped storage,On-grid,2015,174
Canada,Pumped storage,On-grid,2016,174
Canada,Pumped storage,On-grid,2017,174
Canada,Pumped storage,On-grid,2018,174
Canada,Pumped storage,On-grid,2019,177
Canada,Pumped storage,On-grid,2020,177
Canada,Solid biofuels,Off-grid,2000,..
Canada,Solid biofuels,Off-grid,2001,..
Canada,Solid biofuels,Off-grid,2002,..
Canada,Solid biofuels,Off-grid,2003,..
Canada,Solid biofuels,Off-grid,2004,..
Canada,Solid biofuels,Off-grid,2005,..
Canada,Solid biofuels,Off-grid,2006,..
Canada,Solid biofuels,Off-grid,2007,..
