country,technology,jobs (thousands),source,notes,year
Bangladesh,Solar Photovoltaic,110,IRENA estimate,Based on installation trends,2020
Bangladesh,Solid Biomass,,,,2020
Bangladesh,"Tide, Wave and Ocean Energy",,,,2020
Bangladesh,Wind Energy,0.1,IRENA Estimate,,2020
Barbados,All technologies,0.14,,,2020
Barbados,Biogas,,,,2020
Barbados,CSP,,,,2020
Barbados,Geothermal Energy,,,,2020
Barbados,Hydropower,,,,2020
Barbados,Liquid Biofuels,,,,2020
Barbados,Municipal and industrial waste,,,,2020
Barbados,Others,,,,2020
Barbados,Solar Heating / Cooling,0.14,IRENA estimate,Based on employment factors and capacity data,2020
Barbados,Solar Photovoltaic,,,,2020
Barbados,Solid Biomass,,,,2020
Barbados,"Tide, Wave and Ocean Energy",,,,2020
Barbados,Wind Energy,,,,2020
Belarus,All technologies,0.34,,,2020
Belarus,Biogas,,,,2020
Belarus,CSP,,,,2020
Belarus,Geothermal Energy,,,,2020
Belarus,Hydropower,,,,2020
Belarus,Liquid Biofuels,,,,2020
Belarus,Municipal and industrial waste,,,,2020
Belarus,Others,,,,2020
Belarus,Solar Heating / Cooling,,,,2020
Belarus,Solar Photovoltaic,0.1,IRENA estimate,,2020
Belarus,Solid Biomass,,,,2020
Belarus,Wind Energy,0.24,IRENA estimate,,2020
Belgium,All technologies,22.574,,,2020
Belgium,Biogas,0.4,EurObserv'ER (2020),,2020
Belgium,CSP,,,,2020
Belgium,Geothermal Energy,0.174,EurObserv'ER (2020),,2020
Belgium,Hydropower,0.4,EurObserv'ER (2020),,2020
Belgium,Liquid Biofuels,1.1,EurObserv'ER (2020),,2020
Belgium,Municipal and industrial waste,0.6,EurObserv'ER (2020),,2020
Belgium,Others,,,,2020
Belgium,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Belgium,Solar Photovoltaic,6.6,IRENA estimate,,2020
Belgium,Solid Biomass,1.5,EurObserv'ER (2020),,2020
Belgium,"Tide, Wave and Ocean Energy",,,,2020
Belgium,Wind Energy,11.7,,,2020
Bosnia and Herzegovina,All technologies,,,,2020
Bosnia and Herzegovina,Biogas,,,,2020
Bosnia and Herzegovina,CSP,,,,2020
Bosnia and Herzegovina,Geothermal Energy,,,,2020
Bosnia and Herzegovina,Hydropower,,,,2020
Bosnia and Herzegovina,Liquid Biofuels,,,,2020
Bosnia and Herzegovina,Municipal and industrial waste,,,,2020
Bosnia and Herzegovina,Others,,,,2020
Bosnia and Herzegovina,Solar Heating / Cooling,,,,2020
Bosnia and Herzegovina,Solar Photovoltaic,,,,2020
Bosnia and Herzegovina,Solid Biomass,,,,2020
Bosnia and Herzegovina,Wind Energy,,,,2020
Botswana,All technologies,0.1,,,2020
Botswana,Biogas,,,,2020
Botswana,CSP,,,,2020
Botswana,Geothermal Energy,,,,2020
Botswana,Hydropower,,,,2020
Botswana,Liquid Biofuels,,,,2020
Botswana,Municipal and industrial waste,,,,2020
Botswana,Others,,,,2020
Botswana,Solar Heating / Cooling,0.1,IRENA estimate,Based on employment factors and capacity data,2020
Botswana,Solar Photovoltaic,,,,2020
Botswana,Solid Biomass,,,,2020
Botswana,"Tide, Wave and Ocean Energy",,,,2020
Botswana,Wind Energy,,,,2020
Brazil,All technologies,1202.224,,,2020
Brazil,Biogas,,,,2020
Brazil,CSP,,,,2020
Brazil,Geothermal Energy,,,,2020
Brazil,Hydropower,175.82,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Brazil,Liquid Biofuels,871,IRENA estimate,"180,600 jobs in sugarcane cultivation, 166,700 in ethanol processing in 2019. 200,000 indirect jobs in equipment manufacturing, and 323,800 jobs in biodiesel in 2020.",2020
Brazil,Municipal and industrial waste,,,,2020
Brazil,Others,,,,2020
Brazil,Solar Heating / Cooling,47.2,IRENA estimate,Based on employment factors and capacity data,2020
Brazil,Solar Photovoltaic,68,IRENA estimate,Based on employment factors and capacity data,2020
Brazil,Solid Biomass,,,,2020
Brazil,"Tide, Wave and Ocean Energy",,,,2020
Brazil,Wind Energy,40.204,IRENA estimate,,2020
Bulgaria,All technologies,43.719,,,2020
Bulgaria,Biogas,1,EurObserv'ER (2020),,2020
Bulgaria,CSP,,,,2020
Bulgaria,Geothermal Energy,0.213,EurObserv'ER (2020),,2020
Bulgaria,Hydropower,5.086,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Bulgaria,Liquid Biofuels,7.5,,,2020
Bulgaria,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Bulgaria,Others,,,,2020
Bulgaria,Solar Heating / Cooling,1.3,EurObserv'ER (2020),,2020
Bulgaria,Solar Photovoltaic,0.98,IRENA estimate,,2020
Bulgaria,Solid Biomass,27,EurObserv'ER (2020),,2020
Bulgaria,"Tide, Wave and Ocean Energy",,,,2020
Bulgaria,Wind Energy,0.54,IRENA estimate,,2020
Burkina Faso,All technologies,0.1,,,2020
Burkina Faso,Biogas,,,,2020
Burkina Faso,CSP,,,,2020
Burkina Faso,Geothermal Energy,,,,2020
Burkina Faso,Hydropower,,,,2020
Burkina Faso,Liquid Biofuels,,,,2020
Burkina Faso,Municipal and industrial waste,,,,2020
Burkina Faso,Others,,,,2020
Burkina Faso,Solar Heating / Cooling,0.1,,Based on employment factors and capacity data,2020
Burkina Faso,Solar Photovoltaic,,,,2020
Burkina Faso,Solid Biomass,,,,2020
Burkina Faso,"Tide, Wave and Ocean Energy",,,,2020
Burkina Faso,Wind Energy,,,,2020
Cambodia,All technologies,17.021,,,2020
Cambodia,Biogas,,,,2020
Cambodia,CSP,,,,2020
Cambodia,Geothermal Energy,,,,2020
Cambodia,Hydropower,17.021,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
